Hour,Latitude,Longitude
0,80.87210334683371,113.96851307270524
1,-54.59405803825607,169.322366899709
2,15.481471116311473,-34.68037772930884
3,23.4319537276664,124.70075774888139
4,-62.42912984611272,-82.1933270457388
5,75.24127712072806,-50.29404600947678
6,-37.7654869848748,89.26073695484699
7,-1.7270681663667569,-112.11425919277447
8,40.501464132880436,46.35579801682495
9,-77.77090341761078,178.5878518912052
10,59.31010099717212,-143.43839145238684
11,-20.733887265350624,11.11312490789517
12,-18.91108597175302,170.40937868948114
13,57.36543164128055,-34.323769043592705
14,-79.03198962030436,8.503968062667813
15,42.458471089708354,135.36690792759293
16,-3.6015074053212506,-66.38860640600633
17,-35.99794153498392,92.36052944489359
18,73.4964092117568,-124.63983903469826
19,-64.08739993611987,-95.39266684685472
20,25.364810185148105,56.85936120171909
21,13.56316906061694,-143.79907428743326
22,-52.888411155944134,12.60093673304085
23,81.7165804838487,79.47532475473359
