Hour,Latitude,Longitude
0,51.27870821964303,148.0337213937492
1,51.18676931036092,139.4689442402579
2,50.841440435754166,129.74578502158028
3,50.358405161867694,119.16458782012396
4,49.79997899171568,107.93302673302536
5,49.20111707534304,96.19802340900122
6,48.58197706904283,84.06589394318274
7,47.954362365533434,71.61523214750659
8,47.32519303955185,58.90529765283298
9,46.69845344709794,45.98158777885625
10,46.0763228959677,32.879614779229655
11,45.45985094823675,19.62751762032885
12,44.84937029861942,6.247902122171688
13,44.24475398614453,-7.24083952495927
14,43.64557790320215,-20.82356689508033
15,43.05122439060878,-34.48767935760165
16,42.46094844162413,-48.22258149986865
17,41.87391973281869,-62.01927633287954
18,41.28924874533791,-75.87005179667341
19,40.706002218094284,-89.7682362330366
20,40.12321129229423,-103.7080054098309
21,39.53987451056251,-117.6842284708726
22,38.9549570576565,-131.69234346478743
23,38.36738711379066,-145.7282556372884
