Hour,Latitude,Longitude
0,5.495602212563414,-11.939808052920638
1,-51.191584014348045,146.8665347692632
2,84.46464996777361,-145.98316817460164
3,-42.75001030192614,-51.48506407230436
4,-0.4998694287376811,108.48011500116785
5,41.67841325685943,-91.27675356837004
6,-84.41759304040431,4.7941022879773625
7,50.64319593678875,70.05683256930323
8,-6.877993768054532,-130.87494252296992
9,-38.464855199925715,29.190160749091504
10,77.49451794840746,173.42949737598082
11,-54.98260910125936,-168.8659988471571
12,12.558321986076704,-10.376419039398069
13,29.254353713555737,150.40138580599688
14,-74.94558803492973,-62.01247518825485
15,63.381293820189114,-45.82361990682144
16,-19.212543300971287,110.24949344562121
17,-25.616285330879748,-89.21457758316147
18,65.49360096964955,66.47473918212789
19,-67.09736297719888,76.16888654774752
20,25.59380958095683,-129.09930692096717
21,16.849699406558933,31.684666008119972
22,-62.81705243178115,-172.2251312667982
23,75.71033865894707,-155.10145072296592
