Hour,Latitude,Longitude
0,-43.85678916752541,-47.54397728592189
1,22.058012295537583,134.25952130715615
2,-4.649846056429755,-51.562224516274746
3,-15.122407132506579,123.35058723285377
4,35.77579015752666,-58.49973109224301
5,-49.95470320830008,121.6759450183526
6,63.176584752539696,-29.671745183926
7,-61.2524279609321,169.75637649848264
8,44.26426612627699,10.816972481740477
9,-29.920918681350383,-171.93826902735006
10,8.194819866702572,5.459199837807623
11,10.757083991434383,179.85668483333617
12,-28.772810610324008,-4.8417699593157755
13,49.17507854583489,179.3441886168654
14,-59.66115738389556,7.339129100921384
15,61.146768313626495,-130.89474422469726
16,-52.18909195440415,58.74187205452059
17,31.251692157711297,-114.0639388229452
18,-14.996608215189957,60.71964118274034
19,-5.750053909731765,-123.8834828068198
20,25.919827700553096,52.10304888020335
21,-41.83293850091361,-130.5666370847617
22,59.56592954827213,65.79101414905338
23,-63.5081493447147,-95.8746864238651
